customer_id,credit_score,debt_to_income_ratio,late_payments,loan_default,risk_category
C00001,604,0.65,3,0,Medium Risk
C00002,663,0.43,1,0,Medium Risk
C00003,556,0.27,1,0,High Risk
C00004,559,0.5,1,0,High Risk
C00005,561,0.69,0,1,High Risk
C00006,829,0.53,2,0,Low Risk
C00007,545,0.68,1,0,High Risk
C00008,638,0.11,1,0,Medium Risk
C00009,653,0.26,4,0,Medium Risk
C00010,623,0.26,2,0,Medium Risk
C00011,611,0.36,1,0,Medium Risk
C00012,651,0.12,3,0,Medium Risk
C00013,578,0.65,2,1,High Risk
C00014,773,0.52,5,0,Low Risk
C00015,830,0.15,1,0,Low Risk
C00016,802,0.2,2,0,Low Risk
C00017,516,0.46,1,0,High Risk
C00018,510,0.65,0,0,High Risk
C00019,548,0.15,4,1,High Risk
C00020,738,0.36,0,0,Medium Risk
C00021,643,0.22,5,0,Medium Risk
C00022,850,0.21,6,0,Low Risk
C00023,692,0.54,2,0,Medium Risk
C00024,786,0.6,0,0,Low Risk
C00025,787,0.65,0,0,Low Risk
C00026,600,0.51,3,0,Medium Risk
C00027,614,0.14,2,0,Medium Risk
C00028,829,0.31,3,0,Low Risk
C00029,536,0.36,3,1,High Risk
C00030,675,0.27,0,0,Medium Risk
C00031,752,0.42,0,0,Low Risk
C00032,732,0.24,1,0,Medium Risk
C00033,654,0.64,2,0,Medium Risk
C00034,650,0.19,1,0,Medium Risk
C00035,576,0.36,0,0,High Risk
C00036,607,0.17,2,0,Medium Risk
C00037,836,0.31,1,0,Low Risk
C00038,708,0.39,4,0,Medium Risk
C00039,634,0.43,2,0,Medium Risk
C00040,745,0.3,1,0,Medium Risk
C00041,648,0.59,1,0,Medium Risk
C00042,591,0.41,2,1,High Risk
C00043,637,0.7,2,0,Medium Risk
C00044,562,0.17,3,0,High Risk
C00045,833,0.21,1,0,Low Risk
C00046,746,0.58,3,0,Medium Risk
C00047,745,0.43,5,0,Medium Risk
C00048,641,0.32,0,0,Medium Risk
C00049,684,0.35,2,0,Medium Risk
C00050,645,0.44,0,0,Medium Risk
C00051,562,0.15,1,0,High Risk
C00052,771,0.56,2,0,Low Risk
C00053,761,0.37,3,0,Low Risk
C00054,725,0.35,0,0,Medium Risk
C00055,692,0.56,4,0,Medium Risk
C00056,610,0.44,2,0,Medium Risk
C00057,719,0.55,2,0,Medium Risk
C00058,602,0.66,2,0,Medium Risk
C00059,614,0.67,1,0,Medium Risk
C00060,603,0.36,2,0,Medium Risk
C00061,631,0.14,2,0,Medium Risk
C00062,622,0.11,1,0,Medium Risk
C00063,755,0.52,4,0,Low Risk
C00064,598,0.15,2,0,High Risk
C00065,688,0.33,1,0,Medium Risk
C00066,744,0.5,2,0,Medium Risk
C00067,799,0.7,1,0,Low Risk
C00068,724,0.23,1,0,Medium Risk
C00069,518,0.11,3,1,High Risk
