loan_id,customer_id,loan_amount,loan_term_months,interest_rate,loan_type,loan_status,loan_issue_date,loan_end_date
L000001,C03204,1968026,120,13.23,Home Loan,Closed,2024-03-22,2034-01-29
L000002,C02401,3840072,84,9.2,Education Loan,Active,2025-12-05,2032-10-29
L000003,C06496,1514374,180,13.7,Home Loan,Active,2025-08-09,2040-05-22
L000004,C05264,904107,240,13.2,Education Loan,Closed,2022-06-09,2042-02-24
L000005,C00984,3283842,12,16.1,Credit Line,Closed,2024-09-30,2025-09-25
L000006,C06682,546414,120,8.71,Personal Loan,Active,2023-07-03,2033-05-11
L000007,C09212,4331806,60,15.05,Auto Loan,Active,2022-06-22,2027-05-27
L000008,C06889,670791,36,9.06,Education Loan,Active,2024-03-12,2027-02-25
L000009,C01184,3628604,60,9.04,Business Loan,Active,2023-03-25,2028-02-27
L000010,C08588,1457578,36,14.32,Business Loan,Closed,2024-12-29,2027-12-14
L000011,C05307,4207942,120,9.95,Credit Line,Active,2023-01-09,2032-11-17
L000012,C08339,271608,120,15.54,Personal Loan,Active,2024-08-15,2034-06-24
L000013,C08752,2495217,36,9.67,Education Loan,Active,2023-06-14,2026-05-29
L000014,C06509,3140939,36,13.06,Business Loan,Active,2023-06-23,2026-06-07
L000015,C01761,3984279,36,8.5,Credit Line,Active,2023-11-16,2026-10-31
L000016,C04798,2258277,84,15.4,Home Loan,Closed,2024-06-27,2031-05-22
L000017,C00696,1976607,240,7.93,Credit Line,Active,2022-08-21,2042-05-08
L000018,C01608,2350976,180,12.15,Home Loan,Closed,2021-04-02,2036-01-14
L000019,C09086,3766274,120,17.19,Personal Loan,Closed,2023-06-27,2033-05-05
L000020,C09829,2825376,180,10.91,Auto Loan,Closed,2024-02-05,2038-11-18
L000021,C08097,1931302,60,12.86,Education Loan,Active,2024-08-20,2029-07-25
L000022,C02756,3165753,36,15.92,Education Loan,Closed,2025-03-22,2028-03-06
L000023,C00814,4213178,24,14.81,Personal Loan,Active,2025-05-18,2027-05-08
L000024,C00843,2316984,48,11.13,Business Loan,Closed,2024-07-12,2028-06-21
L000025,C06463,1128121,120,9.51,Home Loan,Active,2022-06-05,2032-04-13
L000026,C01419,2826723,48,9.15,Personal Loan,Active,2025-06-30,2029-06-09
L000027,C00689,1688367,24,14.3,Home Loan,Active,2021-02-16,2023-02-06
L000028,C08085,2473155,24,8.37,Credit Line,Defaulted,2022-05-06,2024-04-25
L000029,C01338,2312894,240,7.5,Auto Loan,Active,2024-06-17,2044-03-04
L000030,C00097,321740,48,7.16,Personal Loan,Closed,2023-09-03,2027-08-13
L000031,C06033,1579060,24,8.76,Business Loan,Closed,2022-08-26,2024-08-15
L000032,C07468,2675012,240,14.88,Business Loan,Closed,2022-04-05,2041-12-21
L000033,C08520,4115046,60,9.94,Education Loan,Active,2025-03-11,2030-02-13
L000034,C00069,3020593,180,8.24,Business Loan,Active,2023-03-14,2037-12-25
L000035,C07888,2091727,36,17.97,Personal Loan,Closed,2025-05-16,2028-04-30
L000036,C05138,1703698,60,7.93,Auto Loan,Active,2024-01-30,2029-01-03
L000037,C04804,2432617,240,8.87,Education Loan,Closed,2022-12-19,2042-09-05
L000038,C01013,2478256,84,15.97,Credit Line,Defaulted,2023-03-17,2030-02-08
L000039,C02028,4173066,180,12.61,Business Loan,Closed,2022-02-09,2036-11-22
L000040,C06988,1405546,84,17.77,Auto Loan,Active,2021-05-28,2028-04-21
L000041,C07741,2070216,60,9.77,Auto Loan,Active,2021-01-23,2025-12-28
L000042,C09459,935762,48,8.32,Personal Loan,Active,2022-06-20,2026-05-30
L000043,C07270,301194,36,13.79,Credit Line,Defaulted,2021-08-20,2024-08-04
L000044,C05594,2564274,12,8.51,Personal Loan,Active,2025-10-05,2026-09-30
L000045,C00608,1362804,36,15.89,Auto Loan,Closed,2021-01-10,2023-12-26
L000046,C04210,2373918,240,17.47,Education Loan,Closed,2023-01-27,2042-10-14
L000047,C00321,1586284,48,7.94,Home Loan,Closed,2021-02-06,2025-01-16
L000048,C05634,4145039,48,8.96,Education Loan,Active,2024-10-10,2028-09-19
L000049,C05276,1247221,12,14.98,Auto Loan,Active,2021-01-14,2022-01-09
L000050,C02006,1686362,84,16.22,Home Loan,Closed,2021-07-11,2028-06-04
L000051,C01626,3460793,84,13.92,Home Loan,Closed,2023-02-05,2029-12-30
L000052,C03054,1563696,84,16.62,Education Loan,Closed,2024-08-26,2031-07-21
L000053,C04415,593248,180,10.57,Education Loan,Closed,2021-05-23,2036-03-05
L000054,C05910,2918495,240,10.62,Home Loan,Closed,2022-03-26,2041-12-11
L000055,C07517,3476924,180,9.37,Education Loan,Defaulted,2025-07-29,2040-05-11
L000056,C00634,3097038,180,15.81,Business Loan,Active,2025-08-15,2040-05-28
L000057,C06789,1773880,240,17.43,Home Loan,Closed,2025-10-29,2045-07-16
L000058,C00757,2386578,48,14.0,Auto Loan,Closed,2025-07-24,2029-07-03
L000059,C02758,2003754,180,12.74,Education Loan,Active,2025-08-16,2040-05-29
L000060,C06819,50878,120,12.65,Education Loan,Closed,2023-07-26,2033-06-03
L000061,C03380,96339,60,7.17,Credit Line,Active,2023-03-03,2028-02-05
L000062,C06130,3907635,24,15.72,Credit Line,Active,2021-12-02,2023-11-22
L000063,C08140,1166318,240,10.65,Credit Line,Defaulted,2022-10-21,2042-07-08
L000064,C09838,3914105,48,16.74,Home Loan,Active,2023-03-06,2027-02-13
L000065,C07521,2660469,240,15.83,Home Loan,Closed,2024-07-05,2044-03-22
L000066,C04539,2783928,84,15.06,Business Loan,Closed,2022-11-03,2029-09-27
L000067,C03598,4897753,36,13.98,Education Loan,Active,2021-01-21,2024-01-06
L000068,C02971,194609,60,13.74,Business Loan,Active,2023-01-23,2027-12-28
L000069,C01596,3514235,12,7.2,Personal Loan,Active,2025-11-08,2026-11-03
L000070,C03521,3266587,180,8.9,Business Loan,Active,2021-05-11,2036-02-22
L000071,C09076,3969003,120,11.18,Business Loan,Active,2025-09-03,2035-07-13
L000072,C07518,3817883,120,9.08,Business Loan,Closed,2024-11-23,2034-10-02
L000073,C08988,3932286,48,9.41,Credit Line,Closed,2022-06-17,2026-05-27
L000074,C04479,3511721,36,9.31,Auto Loan,Defaulted,2025-12-05,2028-11-19
L000075,C08542,1117768,180,9.92,Personal Loan,Active,2023-01-01,2037-10-14
L000076,C09138,2550194,84,8.47,Home Loan,Active,2021-03-16,2028-02-08
L000077,C04502,870413,36,17.75,Education Loan,Active,2024-12-20,2027-12-05
L000078,C00469,3267583,240,10.56,Education Loan,Closed,2021-01-03,2040-09-20
L000079,C05572,611025,60,16.62,Education Loan,Closed,2024-11-20,2029-10-25
L000080,C08304,1356217,36,7.23,Personal Loan,Closed,2022-02-10,2025-01-25
L000081,C07040,712889,180,13.94,Home Loan,Closed,2023-05-22,2038-03-04
L000082,C04936,3065983,36,15.52,Personal Loan,Active,2023-04-15,2026-03-30
L000083,C05585,4829242,12,13.74,Education Loan,Closed,2023-07-15,2024-07-09
L000084,C05185,152783,120,12.53,Credit Line,Active,2022-10-14,2032-08-22
L000085,C00337,2255157,84,17.02,Personal Loan,Defaulted,2024-07-03,2031-05-28
L000086,C06813,1889162,24,8.09,Credit Line,Active,2024-01-10,2025-12-30
L000087,C08534,1711056,24,16.52,Personal Loan,Active,2021-02-07,2023-01-28
L000088,C01549,1431615,84,16.59,Education Loan,Closed,2024-10-27,2031-09-21
L000089,C01870,2208205,24,17.43,Personal Loan,Closed,2024-01-06,2025-12-26
L000090,C07100,292773,48,15.29,Home Loan,Closed,2025-03-05,2029-02-12
L000091,C02699,1913883,24,7.21,Business Loan,Closed,2025-04-21,2027-04-11
L000092,C03727,2520146,12,9.12,Personal Loan,Active,2022-05-14,2023-05-09
L000093,C01370,3032730,60,13.48,Personal Loan,Active,2021-01-31,2026-01-05
